design,n_runs,absolute_window_change_median,absolute_window_change_p95,absolute_window_change_max
ssm,25,0.008820942095650444,0.02203125572655463,0.02754212360044176
hacsmv4_two_noaux,25,0.004533950317724827,0.013293452461538152,0.015552908397958141
hacssmv6,25,0.002933231814134368,0.007070424555123403,0.013091571323366743
hacssmv6_static,25,0.003530841947413199,0.015381402396958963,0.01966291630067197
hacssmv7_noaux,25,0.004285520678914935,0.017576825185784125,0.02014841812095111
hacssmv7_sharedaction,25,0.005090800237791664,0.012253999833493822,0.014279851607856227
hacssmv7_noshrink,25,0.004432014957014144,0.010228717973500358,0.017142745160562963
hacssmv7_actiononly,25,0.005649593031288658,0.012734332514436923,0.01797535163094258
hacssmv7_uniform,25,0.005000275714910872,0.012466107334551554,0.01787226329612225
hacssmv7_norecovery,25,0.004083500968420522,0.009497794954936639,0.0168663922135763
hacssmv7_noaction,25,0.003200209651769133,0.01690797175696293,0.020545702190946327
hacssmv7_single,25,0.0043499489879332545,0.012350793974730403,0.017051120217923522
hacssmv7,25,0.0029170132873424966,0.011981055136796216,0.015465742976542334
__all__,325,0.004285520678914935,0.016661005795759215,0.02754212360044176
